sei,fornecedor,valor,score,status,n_docs,tem_cadeia
SEI-270006/004343/2025,NOVA LINEA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI,3403.65,20,integra,8,1
SEI-270060/000466/2024,MEDKA DISTRIBUIDORA HOSPITALAR LTDA,3381.95,20,integra,8,1
SEI-270006/021937/2025,GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA.,3330.00,20,integra,8,1
SEI-270006/004653/2025,NOVA LINEA COMERCIO DE PRODUTOS FARMACEUTICOS EIRELI,3271.10,20,integra,10,1
SEI-270006/015023/2025,DROGAFONTE LTDA.,3235.00,20,integra,8,1
SEI-270006/034849/2025,DBV COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO DO BRASIL LTDA,3206.80,20,integra,8,1
SEI-270006/032422/2025,GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA.,3100.00,20,integra,8,1
SEI-270006/009260/2025,DROGAFONTE LTDA.,3028.50,20,integra,8,1
SEI-270060/000455/2024,DBV COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO DO BRASIL LTDA,3000.00,20,integra,10,1
SEI-270006/024730/2025,DBV COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO DO BRASIL LTDA,3000.00,20,integra,8,1
SEI-270007/006729/2026,INJEX INDUSTRIAS CIRURGICAS LTDA,2986.00,20,integra,8,1
SEI-270006/022617/2024,MEDKA DISTRIBUIDORA HOSPITALAR LTDA,2940.05,20,integra,8,1
SEI-270060/000454/2024,MEDKA DISTRIBUIDORA HOSPITALAR LTDA,2810.00,20,integra,8,1
SEI-270006/030830/2024,DROGAFONTE LTDA.,2727.00,20,integra,21,0
SEI-270006/017647/2024,ESTEVIA DISTRIBUIDORA DE MEDICAMENTOS EIRELI,2700.00,20,integra,19,0
SEI-270006/009825/2026,COMERCIAL CIRURGICA RIOCLARENSE LTDA,2621.70,20,nao_coletado,0,0
SEI-270006/000749/2024,LEMAN MEDICAMENTOS E CIA LTDA,2600.00,20,integra,10,1
SEI-270006/004752/2025,DROGAFONTE LTDA.,2596.00,20,integra,8,1
